
Sequência de referências de páginas:

38,71,93,58,15,87,71,50,51,82,
30,45,5,34,50,66,24,21,18,51,
23,4,58,32,70,72,99,91,70,99,
77,38,78,60,28,89,21,43,2,96,
11,13,29,32,49,9,3,13,15,30,
8,68,63,61,74,68,91,20,88,87,
42,47,69,50,92,58,63,66,95,25,
21,72,16,44,15,29,87,38,2,81,
31,73,14,48,38,22,12,56,46,96,
25,66,86,75,3,51,26,21,2,45,


Sequência de referências de páginas:

83,48,23,90,10,34,80,69,74,75,
80,39,69,50,17,17,59,11,27,33,
31,28,0,33,31,73,43,27,45,11,
21,42,57,45,4,33,66,55,73,27,
89,31,23,98,46,74,16,70,28,0,
17,36,57,93,83,94,39,22,25,99,
5,25,31,89,17,9,82,58,59,3,
75,1,28,16,53,1,2,53,45,75,
57,3,75,24,46,75,99,29,4,0,
31,75,83,86,19,80,87,93,31,61,


Sequência de referências de páginas:

34,67,55,61,86,67,11,35,62,40,
51,84,55,65,21,41,82,2,44,68,
37,55,10,27,48,34,27,51,68,0,
62,82,63,26,95,61,87,30,12,61,
4,12,90,89,43,94,74,21,67,31,
56,89,64,38,17,40,32,94,22,22,
90,49,53,16,19,77,75,92,15,50,
80,9,59,95,37,11,39,26,40,47,
97,15,7,76,5,14,45,41,89,40,
90,34,68,98,96,21,7,48,87,15,


Sequência de referências de páginas:

62,92,2,7,19,96,49,1,40,60,
47,98,74,94,60,85,65,51,75,15,
34,60,14,26,42,33,55,60,88,65,
93,29,19,98,83,60,82,57,94,37,
40,20,87,24,13,29,65,96,9,87,
56,98,6,92,99,1,73,84,23,16,
88,89,99,20,5,56,65,20,20,57,
40,87,59,44,83,26,59,76,88,53,
49,47,96,51,58,12,41,21,0,42,
24,38,73,63,46,75,38,87,21,64,


Sequência de referências de páginas:

2,5,81,28,81,25,45,63,59,38,
95,68,71,56,84,20,61,31,62,1,
40,20,55,14,83,76,64,7,70,44,
46,15,24,39,9,18,1,18,76,69,
63,29,50,98,85,88,33,12,26,81,
58,41,68,96,60,73,96,30,10,68,
12,25,66,64,23,52,23,23,55,28,
77,83,22,46,42,35,5,69,22,52,
68,18,84,96,64,54,16,71,47,26,
93,50,53,99,24,6,35,1,99,83,


Sequência de referências de páginas:

1,51,80,54,44,51,93,68,94,91,
32,36,83,62,89,41,59,25,53,88,
66,32,18,30,8,26,48,50,97,1,
84,89,18,99,88,88,33,63,20,1,
11,93,22,74,53,19,81,57,98,68,
83,2,2,80,14,65,73,81,92,51,
27,27,36,92,87,28,84,85,19,91,
52,16,25,84,44,51,8,53,38,47,
76,74,38,2,69,35,37,44,58,49,
94,80,12,72,95,44,80,11,3,80,


Sequência de referências de páginas:

33,10,82,85,48,46,4,17,60,47,
44,27,9,7,14,73,9,72,44,23,
60,32,60,46,49,64,61,44,27,88,
20,96,87,48,61,10,37,0,17,77,
84,72,72,91,90,48,23,60,24,62,
99,47,98,53,41,46,38,30,81,84,
15,25,75,57,54,99,89,12,39,93,
10,46,78,88,75,75,89,35,27,8,
8,73,31,58,37,33,36,61,50,97,
2,69,88,55,87,71,27,75,46,29,


Sequência de referências de páginas:

86,4,21,66,35,32,50,13,22,26,
86,6,8,70,46,74,30,43,88,8,
30,82,28,47,95,94,24,16,85,95,
31,60,56,49,41,81,22,3,69,95,
27,39,14,50,3,42,62,8,51,56,
10,87,84,24,27,38,29,1,83,6,
16,36,61,77,74,7,85,19,60,69,
15,69,80,88,28,69,34,60,98,99,
3,13,28,84,80,0,80,89,89,45,
11,84,82,14,70,73,34,59,11,9,


Sequência de referências de páginas:

99,31,76,77,14,5,3,36,6,65,
1,96,11,73,86,1,53,64,7,53,
17,37,90,14,92,98,52,18,94,30,
10,47,14,95,74,91,66,20,47,36,
13,55,50,53,40,94,11,50,16,23,
82,27,5,87,24,51,19,3,80,90,
71,21,49,96,23,95,31,69,94,72,
94,42,6,37,24,50,30,29,56,23,
31,38,34,66,75,7,69,58,26,92,
11,49,3,10,81,73,33,43,98,59,


Sequência de referências de páginas:

22,8,69,5,40,75,42,69,79,12,
51,48,82,74,39,69,93,44,39,32,
55,64,73,63,30,0,20,3,71,69,
4,49,82,3,38,27,49,40,26,56,
91,52,87,82,0,67,34,79,93,48,
77,78,90,59,25,60,65,67,8,72,
50,75,92,61,84,85,83,23,25,24,
8,67,82,97,71,5,3,36,46,74,
1,32,78,83,23,98,92,11,86,82,
71,98,19,65,14,11,85,12,95,7,


Sequência de referências de páginas:

44,84,97,67,95,46,63,4,34,15,
28,51,10,38,50,15,71,62,8,17,
81,78,3,6,92,74,93,72,40,91,
63,71,56,95,99,2,73,15,32,92,
16,18,3,48,7,55,1,44,65,18,
74,41,17,38,40,90,48,29,83,14,
36,20,23,67,56,9,92,25,66,20,
95,69,65,75,53,14,17,36,36,31,
11,4,29,41,57,84,77,49,27,91,
99,50,90,42,63,8,64,38,82,66,


Sequência de referências de páginas:

83,49,2,11,29,94,28,62,18,5,
6,30,3,47,42,0,64,87,70,29,
8,3,27,11,12,87,1,4,82,24,
55,67,65,85,80,22,12,14,67,33,
61,13,73,66,56,32,89,83,33,96,
33,53,17,3,78,96,92,82,95,73,
85,16,67,3,51,7,5,93,46,44,
50,60,57,72,5,45,54,21,35,80,
45,28,52,24,21,24,51,23,19,19,
58,68,66,55,68,48,20,5,75,47,


Sequência de referências de páginas:

66,54,30,88,88,32,48,18,4,81,
28,12,5,84,0,8,73,80,23,80,
50,94,30,7,68,0,62,79,4,78,
28,30,57,60,23,78,84,22,20,24,
94,96,36,64,45,93,34,10,4,70,
46,18,99,7,64,37,29,80,75,57,
88,38,58,57,5,68,38,40,41,72,
48,68,87,25,63,90,69,37,84,35,
10,35,71,75,64,27,33,32,18,8,
84,7,38,13,17,60,81,27,7,46,


Sequência de referências de páginas:

78,58,52,78,1,62,78,17,86,9,
31,30,40,44,29,96,53,74,86,98,
82,58,23,64,38,79,36,12,82,10,
2,27,1,86,9,22,45,46,3,63,
34,96,73,25,14,52,91,63,61,34,
25,48,23,81,50,71,66,32,3,59,
20,61,10,7,9,59,77,20,48,33,
33,58,0,59,40,95,1,92,28,6,
83,75,97,89,41,7,24,2,40,31,
15,52,85,1,14,70,10,23,46,31,


Sequência de referências de páginas:

64,66,80,7,13,60,46,92,83,50,
73,29,28,97,83,69,90,76,35,53,
37,12,97,73,48,76,60,39,31,46,
56,36,65,60,21,2,47,38,51,26,
51,94,53,87,53,52,30,3,10,87,
70,28,49,43,29,93,21,54,81,98,
36,0,5,77,25,52,46,98,25,81,
93,62,4,40,79,44,36,76,92,71,
91,48,52,51,0,91,99,39,56,19,
82,44,52,2,18,5,24,62,59,98,


Sequência de referências de páginas:

38,96,32,25,43,49,47,41,71,42,
98,87,48,53,70,44,84,30,57,80,
40,68,42,97,75,58,14,74,11,83,
74,29,22,21,46,42,87,80,96,95,
81,24,83,93,21,83,7,34,92,10,
10,42,10,5,18,61,90,60,0,11,
42,18,6,91,95,12,34,52,81,88,
80,75,17,50,63,98,93,54,85,21,
62,60,56,71,17,97,47,31,82,18,
77,56,72,89,38,60,62,46,11,17,


Sequência de referências de páginas:

2,97,93,37,93,0,59,49,35,60,
98,74,59,8,32,41,10,65,8,26,
70,35,34,2,97,49,90,93,34,0,
83,68,25,58,99,76,26,15,24,76,
57,62,48,97,67,31,40,56,89,72,
16,21,94,76,93,46,79,86,53,22,
1,89,33,8,45,50,32,51,1,72,
55,59,71,7,30,32,67,45,11,48,
8,14,83,97,58,33,17,52,14,71,
64,23,26,36,92,90,15,26,17,71,


Sequência de referências de páginas:

31,2,45,24,56,52,2,38,70,3,
12,5,60,62,4,25,77,18,49,11,
1,93,97,58,1,99,94,40,93,87,
77,37,11,62,25,62,65,83,39,38,
96,23,48,88,29,19,76,32,38,34,
45,55,36,74,53,20,70,78,42,27,
28,53,55,30,24,85,60,34,0,55,
54,51,11,7,78,27,46,81,34,13,
26,53,11,16,85,11,40,36,38,16,
2,48,8,41,89,7,62,36,51,20,


Sequência de referências de páginas:

44,12,30,61,53,10,86,4,69,12,
84,74,47,64,39,85,85,11,80,84,
24,38,45,21,71,51,69,44,16,1,
65,3,6,6,48,81,58,5,48,23,
88,35,52,44,92,82,87,45,59,21,
4,75,65,81,12,16,75,49,47,53,
37,15,59,99,69,26,65,39,31,64,
12,59,60,52,76,68,11,33,95,68,
39,82,46,76,67,34,4,23,14,35,
76,71,54,37,48,79,90,31,55,49,


Sequência de referências de páginas:

48,73,23,71,34,45,95,24,87,22,
58,63,15,37,73,93,98,63,16,7,
8,99,22,10,84,62,82,24,92,80,
74,72,32,38,93,67,26,28,96,92,
30,95,71,68,16,75,58,95,35,99,
91,64,63,86,66,7,61,77,42,48,
49,30,11,21,43,15,87,55,50,70,
23,63,2,79,80,79,20,88,19,29,
28,12,69,46,53,8,73,57,40,21,
50,58,96,30,91,97,17,25,57,79,


Sequência de referências de páginas:

32,41,20,73,31,52,2,83,53,63,
77,44,87,39,71,12,56,20,96,93,
21,50,39,15,94,20,83,78,0,40,
93,39,35,71,35,28,8,53,76,20,
4,70,19,70,56,80,28,37,34,96,
30,20,94,67,68,71,81,4,63,15,
21,87,11,12,85,71,0,50,43,65,
53,29,9,80,63,71,39,81,71,71,
53,88,24,90,87,79,47,6,5,0,
93,41,75,92,68,77,22,73,89,23,


Sequência de referências de páginas:

8,85,73,6,92,28,23,39,80,63,
85,35,69,51,25,50,73,49,60,74,
64,15,4,32,35,29,68,9,56,24,
64,88,59,73,42,90,5,14,77,65,
41,29,37,89,8,64,97,55,16,61,
6,11,63,46,21,69,52,74,59,91,
88,27,90,73,28,42,56,58,38,19,
43,95,3,27,25,26,43,8,25,69,
80,88,33,12,9,3,68,28,30,28,
31,28,21,81,91,31,13,42,2,63,


Sequência de referências de páginas:

65,53,23,73,20,71,51,91,38,28,
83,95,9,50,66,65,3,85,39,46,
4,66,61,84,51,32,43,0,55,20,
70,12,44,57,33,0,47,65,6,50,
88,84,70,24,40,0,53,84,40,76,
11,95,1,89,1,31,54,43,59,20,
57,22,14,28,11,36,20,55,33,93,
19,29,58,41,19,56,40,27,43,85,
97,64,14,71,11,62,32,27,48,91,
80,18,82,47,3,24,35,54,34,29,


Sequência de referências de páginas:

81,15,63,1,39,39,54,42,61,75,
65,3,43,54,12,81,82,92,69,94,
90,59,34,67,33,42,7,31,50,70,
32,9,11,13,73,66,81,25,36,21,
71,17,96,28,91,84,62,40,11,80,
44,59,40,38,7,10,55,58,64,22,
31,55,51,92,56,47,65,44,68,25,
60,75,41,60,48,72,9,85,58,21,
17,66,9,1,35,10,18,83,28,29,
37,72,35,20,19,78,70,71,32,51,


Sequência de referências de páginas:

39,55,74,55,54,98,26,19,58,72,
52,72,60,44,48,44,82,70,61,12,
